iter	Logloss
0	0.6503478802
1	0.6142981025
2	0.5824582993
3	0.5546973733
4	0.5289870799
5	0.5073379587
6	0.4876129256
7	0.4704166848
8	0.4566052559
9	0.4447281426
10	0.4338941244
11	0.4247545316
12	0.4166080428
13	0.4094828094
14	0.4026084193
15	0.3962497362
16	0.3913507979
17	0.386952218
18	0.3824636939
19	0.3789319613
20	0.3753646441
21	0.3727337126
22	0.3698062929
23	0.3677527135
24	0.3653011364
25	0.3636092715
26	0.362155949
27	0.3607945827
28	0.3595427741
29	0.3583956334
30	0.3570410214
31	0.3557779917
32	0.3549806557
33	0.3543368521
34	0.3533155894
35	0.3524125204
36	0.3515512075
37	0.3509293371
38	0.3503393519
39	0.3496095865
40	0.3490156634
41	0.3486886651
42	0.3483589512
43	0.3478773702
44	0.3475745607
45	0.3472560238
46	0.34694172
47	0.3467081758
48	0.3462627648
49	0.3459688766
50	0.3456340958
51	0.3454052767
52	0.3450302157
53	0.3448250073
54	0.3446260318
55	0.3444361794
56	0.3441684748
57	0.3438257393
58	0.3436000686
59	0.3433384296
60	0.3431622162
61	0.3428289088
62	0.3426906192
63	0.3425507873
64	0.342335745
65	0.3421664311
66	0.3420403736
67	0.3418655352
68	0.3417519214
69	0.3416571219
70	0.3415262483
71	0.3413573058
72	0.3412337178
73	0.3410930128
74	0.3409880104
75	0.3407585665
76	0.3406329321
77	0.3404457386
78	0.3403202566
79	0.3401607914
80	0.3400320528
81	0.3399064528
82	0.3397337667
83	0.3396076059
84	0.3395056142
85	0.3393936655
86	0.339222743
87	0.3391206873
88	0.3389742511
89	0.3387312617
90	0.338533184
91	0.3383987536
92	0.3383095868
93	0.338185042
94	0.3380636506
95	0.3379153918
96	0.3377993846
97	0.3376940748
98	0.3375532886
99	0.3373461296
100	0.3372558756
101	0.3371539405
102	0.3369791242
103	0.3368708848
104	0.336802719
105	0.3367163562
106	0.3366490463
107	0.3365313568
108	0.3364709292
109	0.3363416937
110	0.3362465572
111	0.3361907883
112	0.3360978384
113	0.3359884061
114	0.3358725662
115	0.3357122278
116	0.335652484
117	0.3355464706
118	0.3354456571
119	0.3353529286
120	0.3352532244
121	0.3351703717
122	0.335010321
123	0.3349341488
124	0.3347899633
125	0.3346878781
126	0.3345457317
127	0.3344420403
128	0.3343551413
129	0.3342370287
130	0.3341598455
131	0.3340408056
132	0.3339645375
133	0.3338645037
134	0.3337981949
135	0.3337482727
136	0.333692093
137	0.3335930628
138	0.3335183369
139	0.3334581405
140	0.3333655547
141	0.3332915101
142	0.3331962039
143	0.3330100459
144	0.3328945381
145	0.3328257057
146	0.3327468819
147	0.332603545
148	0.332541312
149	0.3323842302
150	0.3322900677
151	0.3322156591
152	0.3321379078
153	0.3320637624
154	0.332008756
155	0.3319006445
156	0.3317934849
157	0.3317035015
158	0.3316319757
159	0.3314486931
160	0.3313835749
161	0.3312915941
162	0.3311587036
163	0.3310412231
164	0.330968251
165	0.3308790645
166	0.3307809591
167	0.3306677388
168	0.3305329715
169	0.3304498186
170	0.3303584602
171	0.330269746
172	0.3301668786
173	0.3301148435
174	0.3300397979
175	0.3299406176
176	0.3298784706
177	0.3298048467
178	0.3297524697
179	0.329677611
180	0.3295740254
181	0.3294640298
182	0.3293792707
183	0.3293040603
184	0.329114048
185	0.3290407856
186	0.3289161572
187	0.3288675165
188	0.3288064026
189	0.3287009108
190	0.3285637575
191	0.3284708151
192	0.3284012373
193	0.32830783
194	0.3281941251
195	0.3281255657
196	0.328021835
197	0.3279243421
198	0.3278335125
199	0.3277805206
200	0.3276806934
201	0.327538638
202	0.3274050316
203	0.3272871551
204	0.3271859948
205	0.3271061822
206	0.3270295722
207	0.326988013
208	0.3269246534
209	0.3268431633
210	0.3267386037
211	0.3266730254
212	0.3265591189
213	0.3264432913
214	0.3263814838
215	0.3262633392
216	0.3261659791
217	0.3260650622
218	0.325976075
219	0.3258767102
220	0.32573113
221	0.3256493915
222	0.3255711261
223	0.3254598662
224	0.3253596455
225	0.3252628388
226	0.325120321
227	0.3250172396
228	0.3248964311
229	0.3247485191
230	0.3246578076
231	0.324545367
232	0.3244419364
233	0.3242969662
234	0.3241100998
235	0.3240065757
236	0.323875771
237	0.3237759389
238	0.3236836064
239	0.3236110697
240	0.3234982774
241	0.3234242648
242	0.3233546035
243	0.3232745474
244	0.3231521499
245	0.3230471008
246	0.322953081
247	0.3228496159
248	0.3227796618
249	0.3226932671
250	0.32256871
251	0.3224430362
252	0.3223120987
253	0.3222283309
254	0.3221321736
255	0.3220393074
256	0.3219608256
257	0.3218062699
258	0.3217285014
259	0.3216652303
260	0.3215079788
261	0.3213988736
262	0.3213169064
263	0.3212439835
264	0.3211326891
265	0.3210570433
266	0.3209847255
267	0.3209428145
